name,lat,lng
Amsterdam,52.36993000000007,4.907880000000034
Athens,37.976140000000036,23.736400000000057
Belfast,54.59534000000008,-5.934549999999946
Belgrade,44.81310000000008,20.463290000000033
Berlin,52.516040000000025,13.376910000000064
Bern,46.94843000000003,7.44046000000003
Brussels,50.844390000000026,4.356090000000052
Bucharest,44.434290000000026,26.102980000000056
Budapest,47.499720000000075,19.055080000000032
Copenhagen,55.675670000000075,12.567560000000071
Dublin,53.348070000000064,-6.248269999999933
Helsinki,60.171160000000036,24.932650000000024
Kiev,50.450560000000046,30.524280000000033
Lisbon,38.72639000000004,-9.149479999999926
Ljubljana,46.05062000000004,14.502820000000042
London,51.50642000000005,-0.1272099999999341
Luxembourg,49.776828429000034,6.092325247000075
Madrid,40.41955000000007,-3.6919599999999377
Oslo,59.91234000000003,10.750000000000057
Paris,48.857170000000046,2.341400000000021
Prague,50.07913000000008,14.433020000000054
Reykjavík,64.14746000000008,-21.934219999999986
Riga,56.94598000000008,24.114870000000053
Rome,41.90322000000003,12.495650000000069
Sofia,42.69718000000006,23.32433000000003
Tallinn,59.43642000000007,24.752580000000023
Vienna,48.20263000000007,16.368420000000068
Vilnius,54.690620000000074,25.269800000000032
Warsaw,52.23560000000003,21.010370000000023
Zagreb,45.807240000000036,15.967570000000027
